"Vineyard Name","Variety Name",WineColour,"Management Unit Variety Name Modifier","Management Unit Area","Management Unit Name","Management Unit Rows Total","Rows Numbers","Management Unit Row Width","Vine Spacing",VinesHa,"Total Vines",Clone,"Source Vineyard","Plant Date",Status
Woodman,"Cabernet Sauvignon",red,,3.82,4,,,3,1.6,2083,7957.0599999999995,,,1998,Active
Woodman,Chardonnay,white,,2.11,5,,,3,1.6,2083,4395.13,,,1998,Active
Woodman,Chardonnay,white,,2.62,3,,,3,1.6,2083,5458,,,1998,Active
Woodman,Chardonnay,white,,2.94,9,,,3,1,3333,9799.02,,,1998,Active
Woodman,"Sauvignon Blanc",white,,2.63,10,,,3,1.6,2083,5478.29,,,1998,Active
Woodman,Semillon,white,,2.91,2,,,3,1.6,2083,6071,,,1998,Active
Woodman,Shiraz,red,,3.01,8,,,3,1.6,2083,6269.83,,,1998,Active
"Wood Sea ",chardonnay,white,,0.8617710583153347,3,16,"1 to 19",3,1.8,1852,1596,"174 & 470",,,Active
"Wood Sea ",chardonnay,white,,1.6792656587473003,5,46,"1 to 46",3,1.8,1852,3110,,,,Active
"Wood Sea ","Sauvignon Blanc",white,,4.42548596112311,2,121,"1 to 121",3,1.8,1852,8196,,,,Active
"Wood Sea ",shiraz,red,,0,4,49,"1 to 49",3,1.8,1852,5026,,,,Active
"Wood Sea ",shiraz,red,,2.4778617710583153,1,54,"20 to 53",3,1.8,1852,4589,,,,Active
Wrights,"Cabernet Sauvignon",red,,1.79,3,41,"1 to 41",2.5,2,2000,3580,,,,Active
Wrights,Chardonnay,white,,2.1199850018747655,2a,27,"1 to 27",2.5,1.5,2667,5654,,,,Active
